Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
15,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,23,28,6.82,7.85,195,226,2012
16,WELL AT TADAVAI A.P.,ANDHRA PRADESH,27,28,7.21,7.72,663,1121,2012
26,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,26,32,7.19,7.39,1601,1661,2012
27,"WELL AT PEDDAVOORA, A.P.",ANDHRA PRADESH,26,27,7.82,8.8,1420,1668,2012
1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,25,30,6.8,7.11,1454,1575,2012
1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST.",ANDHRA PRADESH,24,31,6.77,7.43,1559,1649,2012
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,22,24,6.95,7.2,1788,2160,2012
1516,B W OF NAVLOK GARDENS NELLORE,ANDHRA PRADESH,29,29,7.46,8.04,696,1082,2012
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,26,27,7.39,8,1240,1662,2012
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,26,28,7.17,8.2,1650,2850,2012
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,18,28,7.05,7.8,1460,2130,2012
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST.",ANDHRA PRADESH,20,26,7.36,8.4,829,1428,2012
1521,"O/W. - NEAR RAMA TEMPLE , WARD No.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,25,27.4,7.5,7.54,3120,4111,2012
1522,O/W. PEDDANUYYI - VIZIANAGARAM,ANDHRA PRADESH,25,36,7.08,7.8,671,1580,2012
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST.",ANDHRA PRADESH,24.2,25,7.6,7.71,234,370,2012
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE-KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,25,26,7.2,7.38,875,1345,2012
1525,"B/W - IDA , NEAR CHAITANYA CHLORIDES ,PASHAMAYLAM , MEDAK",ANDHRA PRADESH,26,26,6.9,6.9,1925,1925,2012
1791,"B/W. - EAST OF SAICHERUVU ,PAIDIPALLY (V),WARANGAL DIST.",ANDHRA PRADESH,28,29,6.76,7.43,2610,4525,2012
1792,"B/W-NEAR CKM COLLEGE , ENUMAMULA (V) ,WARANGAL DIST.",ANDHRA PRADESH,26,28,6.87,7.38,2377,3120,2012
1793,"O/W- BHOOMAIAH NEAR ASHPONDS OF NTPC , KUNDANPALLY (V) , RAMAGUNDAM , KARIMNAGAR, A.P",ANDHRA PRADESH,25,28,7.35,7.93,1664,1975,2012
1794,"B/W- MANAKONDUR (V) , KARIMNAGAR DIST., A.P",ANDHRA PRADESH,24,29,7.66,7.75,910,944,2012
1795,"B/W. - PANCHAYAT OFFICE ,,BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,26,27,7,7.2,6870,7120,2012
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABADDIST. , A.P",ANDHRA PRADESH,28,28,7.18,7.6,1014,2044,2012
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,26,27,8.2,8.3,1050,1100,2012
1533,"*DIGBOI, TINSUKIA DISTT.,ASSAM",ASSAM,23,24,5.9,6.9,234,518,2012
1534,"*KARBIANGLONG DISTT., ASSAM",ASSAM,32,35,4.7,5.8,714,847,2012
1535,"*SIBSAGAR , ASSAM",ASSAM,20,27,6.2,6.7,243,365,2012
1536,"*SIBSAGAR, ASSAM",ASSAM,19,24,6,7.1,140,175,2012
1537,"*(JORHAT, ASSAM",ASSAM,22,30,6.1,7,115,430,2012
1538,"*SILCHAR, ASSAM",ASSAM,12,15,6.5,7.1,711,913,2012
1539,"*BARPETA, ASSAM",ASSAM,24,26,6.5,7.5,111,562,2012
1540,"*BONAIGAON, ASSAM",ASSAM,23,25,6.6,6.9,264,630,2012
1541,"*GUWAHATI, ASSAM",ASSAM,25,25,6.4,6.9,387,476,2012
1542,"*GUWAHATI, ASSAM",ASSAM,25,29,7.1,8.1,412,561,2012
2243,"GROUND WATER FROM LEDO, MARGHERITA",ASSAM,24,25,5.1,6.1,324,532,2012
2244,GROUND WATER FROM NAZIRA,ASSAM,20,25,6.4,6.8,283,286,2012
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),ASSAM,27,32,5.1,6.3,66,104,2012
2246,GROUND WATER FROM SEMENCHAPARI,ASSAM,20,24,6.4,6.8,139,468,2012
2247,GROUND WATER FROM SILAPATHAR,ASSAM,20,24,6.3,6.3,255,292,2012
2248,GROUND WATER FROM LAKHIMPUR TOWN,ASSAM,21,24,5.6,6.3,70,483,2012
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),ASSAM,20,24,6.6,6.8,127,142,2012
2250,GROUND WATER FROM NAGAON (PANIGAON),ASSAM,28,29,6.4,6.8,519,839,2012
2251,GROUND WATER FROM JAGIROAD NR HPC EFFLUENT DISCHARGE POINT,ASSAM,27,28,6.9,7.2,305,313,2012
2252,GROUND WATER NR MSW DUMPING SITE AT GARCHUK-GUWAHATI,ASSAM,25,28,6.6,7.4,262,266,2012
2253,GROUND WATER FROM NALBARI,ASSAM,24,26,6.6,6.8,289,428,2012
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),ASSAM,23,25,5.8,7.1,101,910,2012
2255,"GROUND WATER NEAR BPRL, DHALIGAON",ASSAM,24,27,6,7,357,448,2012
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),ASSAM,24,30,5.9,6.4,78,107,2012
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM,23,31,6.5,6.8,345,422,2012
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),ASSAM,28,28,6.1,6.1,362,362,2012
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),ASSAM,32,36,6.7,7,191,935,2012
2261,GROUND WATER FROM HAFLONG,ASSAM,10,25,5.6,7.6,86,166,2012
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),ASSAM,13,13,6.5,6.5,302,302,2012
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,15,15,6.3,6.3,142,142,2012
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,ASSAM,12,15,6.7,6.8,431,690,2012
1920,KAKCHING (THOUBAL DIST.),MANIPUR,17,17,,,59.4,59.4,2012
1406,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,25.5,28,7.74,7.98,334,360,2012
1730,"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,26,27,7.3,7.76,182,193,2012
1731,"LANKAMURA, TRIPURA",TRIPURA,26,28.5,7.68,7.94,82,94,2012
1732,"A.D.NAGAR, AGARTALA, TRIPURA",TRIPURA,26.5,27.5,7.56,7.74,108,120,2012
1733,"SHIBNAGAR, AGARTALA, TRIPURA",TRIPURA,27,27.5,7.72,7.85,182,196,2012
1734,"GANDHIGRAM, AGARTALA, TRIPURA",TRIPURA,26,27.5,7.42,7.62,162,178,2012
1634,"POLICE BAZAR, SHILLONG, MEGHALAYA",MEGHALAYA,18,18,6,6,175,215,2012
1635,"MAWLAI, SHILLONG,MEGHALAYA",MEGHALAYA,19,19,5,5,220,255,2012
1636,"INDUSTRIAL ESTATE, BYRNIHAT, MEGHALAYA",MEGHALAYA,24,25.5,6,6.5,175,260,2012
1637,"SOHRA CHERRAPUNJEE, MEGHALAYA",MEGHALAYA,18,18,6.5,6.5,75,92,2012
1638,"SHANGPUNG, MEGHALAYA",MEGHALAYA,17,19,5.1,6.5,115,125,2012
1620,"AT RAIPUR REGION, CHHATISSGARH",CHHATTISGARH,25,32,7.25,7.96,480,786,2012
1621,"AT RAIPUR REGION,CHHATISSGARH",CHHATTISGARH,25,31,7.65,7.86,496,943,2012
1622,AT BILASPUR REGION,CHHATTISGARH,31,31,7.5,7.5,789,1789,2012
1617,"OPEN WELL/TUBE WELL INDL AREA MANDIDEEP, RAISEN",MADHYA PRADESH,38,38,8.2,8.2,340,340,2012
1618,"GW SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",MADHYA PRADESH,,,7.4,7.6,821,821,2012
1619,GROUND WATER SAMPLING AT TWO POINTS IN INDL AREA MALANPUR,MADHYA PRADESH,,,7.26,7.3,818,818,2012
2143,"KATHODA, JABALPUR",MADHYA PRADESH,28,28,7.3,7.3,475,475,2012
2144,"MADAI GRAM, JABALPUR",MADHYA PRADESH,32,32,7.8,7.8,918,918,2012
2145,"MEHATWAS, NAGDA",MADHYA PRADESH,28,29,7.76,7.8,1850,2514,2012
2146,"BHAGATPURI VILLAGE, NAGDA",MADHYA PRADESH,27,29,7.2,7.5,1300,1340,2012
2148,"DOSIGAON, RATLAM",MADHYA PRADESH,26,26,7.4,7.8,1860,2210,2012
2149,"CULVERT ON A.B. ROAD, MAKSI",MADHYA PRADESH,25,25,7,8,941,1100,2012
2153,IBRAHIMGANJ NEAR BUS STAND,MADHYA PRADESH,36,36,7.8,7.8,510,510,2012
1555,"AT KALA AMB, H.P",HIMACHAL PRADESH,25,26,7.3,7.6,369,445,2012
1556,"AT PAONTA SAHIB, H.P",HIMACHAL PRADESH,24,26,7.28,7.48,541,649,2012
1557,"AT PARWANOO, H.P",HIMACHAL PRADESH,21,24,7.23,8.34,365,455,2012
1558,"AT BADDI,H.P",HIMACHAL PRADESH,23,26,7.5,8.3,291,709,2012
1559,"AT BAROTIWALA, H.P",HIMACHAL PRADESH,22,27,7.58,7.96,329,408,2012
1560,"AT NALAGARH, H.P",HIMACHAL PRADESH,23,27,7.51,8.27,906,1145,2012
1561,"AT DAMTAL, H.P",HIMACHAL PRADESH,18,25.4,7.52,7.59,680,701,2012
1562,"AT UNA, H.P",HIMACHAL PRADESH,15,25,7.4,7.85,428,630,2012
1872,SHIMLA D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,10.4,14.1,6.62,7.86,232,758,2012
1873,DHARAMSHALA KANGRA D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,18,20,5.85,6.04,269,293,2012
1874,SOLAN-D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,12,24,7.27,8.5,369,580,2012
1875,MANDI-D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,18,18,7.65,7.65,257,257,2012
1876,PARWANOO INDUSTRIAL AREA,HIMACHAL PRADESH,21,25,6.68,8.32,553,763,2012
1877,BADDI INDUSTRIAL AREA,HIMACHAL PRADESH,23,26,7.13,8.23,345,398,2012
1878,BAROTIWALA INDUSTRIAL AREA,HIMACHAL PRADESH,22.5,27,7.4,7.63,360,513,2012
1879,NALAGARH INDUSTRIAL AREA,HIMACHAL PRADESH,22,28,6.6,7.68,888,1314,2012
1880,KALA AMB INDUSTRIAL AREA,HIMACHAL PRADESH,26,26,7.09,7.36,371,485,2012
1881,PAONTA SAHIB INDUSTRIAL AREA,HIMACHAL PRADESH,23,25,7.22,8.04,409,671,2012
1882,MEHATPUR INDUSTRIAL AREA,HIMACHAL PRADESH,15,24,7.68,7.71,573,870,2012
1883,UNA INDUSTRIAL AREA,HIMACHAL PRADESH,14,25,7.46,7.75,516,794,2012
2628,HAND PUMP AT SHAMSHI,HIMACHAL PRADESH,10,16,7.29,8.21,301,568,2012
2629,HAND PUMP AT MANDI TOWN,HIMACHAL PRADESH,20.5,21,7.47,7.78,591,703,2012
2630,HAND PUMP AT HAMIRPUR TOWN,HIMACHAL PRADESH,15,15,7,7.04,7.36,1300,2012
2631,HAND PUMP AT NADAUN TOWN,HIMACHAL PRADESH,13,13,6.65,6.78,527,811,2012
2632,HAND PUMP AT BILASPUR TOWN,HIMACHAL PRADESH,22,23,7.42,7.79,714,987,2012
